episode,reward,length,success,epsilon
60,-507.05435,500,0,0.7439808620067382
61,-507.05435,500,0,0.7402609576967045
62,-507.05435,500,0,0.736559652908221
63,-507.05435,500,0,0.7328768546436799
64,-507.05435,500,0,0.7292124703704616
65,-507.05435,500,0,0.7255664080186093
66,-507.05435,500,0,0.7219385759785162
67,-507.05435,500,0,0.7183288830986236
68,-507.05435,500,0,0.7147372386831305
69,-507.05435,500,0,0.7111635524897149
70,-507.05435,500,0,0.7076077347272662
71,-507.05435,500,0,0.7040696960536299
72,-507.05435,500,0,0.7005493475733617
73,-507.05435,500,0,0.697046600835495
74,-507.05435,500,0,0.6935613678313175
75,-507.05435,500,0,0.6900935609921609
76,-507.05435,500,0,0.6866430931872001
77,-507.05435,500,0,0.6832098777212641
78,-507.05435,500,0,0.6797938283326578
79,-507.05435,500,0,0.6763948591909945
80,-507.05435,500,0,0.6730128848950395
81,-507.05435,500,0,0.6696478204705644
82,-507.05435,500,0,0.6662995813682115
83,-507.05435,500,0,0.6629680834613705
84,-507.05435,500,0,0.6596532430440636
85,-507.05435,500,0,0.6563549768288433
86,-507.05435,500,0,0.653073201944699
87,-507.05435,500,0,0.6498078359349755
88,-507.05435,500,0,0.6465587967553006
89,-507.05435,500,0,0.6433260027715241
90,-507.05435,500,0,0.6401093727576664
91,-507.05435,500,0,0.6369088258938781
92,-507.05435,500,0,0.6337242817644086
93,-507.05435,500,0,0.6305556603555866
94,-507.05435,500,0,0.6274028820538087
95,-507.05435,500,0,0.6242658676435396
96,-507.05435,500,0,0.6211445383053219
97,-507.05435,500,0,0.6180388156137953
98,-507.05435,500,0,0.6149486215357263
99,-507.05435,500,0,0.6118738784280476
100,-507.05435,500,0,0.6088145090359074
101,-507.05435,500,0,0.6057704364907278
102,-507.05435,500,0,0.6027415843082742
103,-507.05435,500,0,0.5997278763867329
104,-507.05435,500,0,0.5967292370047992
105,-507.05435,500,0,0.5937455908197752
106,-507.05435,500,0,0.5907768628656763
107,-507.05435,500,0,0.5878229785513479
108,-507.05435,500,0,0.5848838636585911
109,-507.05435,500,0,0.5819594443402982
110,-507.05435,500,0,0.5790496471185967
111,-507.05435,500,0,0.5761543988830038
112,-507.05435,500,0,0.5732736268885887
113,-507.05435,500,0,0.5704072587541458
114,-507.05435,500,0,0.567555222460375
115,-507.05435,500,0,0.5647174463480732
116,-507.05435,500,0,0.5618938591163328
117,-507.05435,500,0,0.5590843898207511
118,-507.05435,500,0,0.5562889678716474
119,-507.05435,500,0,0.5535075230322891
120,-507.05435,500,0,0.5507399854171277
121,-507.05435,500,0,0.547986285490042
122,-507.05435,500,0,0.5452463540625918
123,-507.05435,500,0,0.5425201222922789
124,-507.05435,500,0,0.5398075216808175
125,-507.05435,500,0,0.5371084840724134
126,-507.05435,500,0,0.5344229416520513
127,-507.05435,500,0,0.531750826943791
128,-507.05435,500,0,0.5290920728090721
129,-507.05435,500,0,0.5264466124450268
130,-507.05435,500,0,0.5238143793828016
131,-507.05435,500,0,0.5211953074858876
132,-507.05435,500,0,0.5185893309484582
133,-507.05435,500,0,0.5159963842937159
134,-507.05435,500,0,0.5134164023722473
135,-507.05435,500,0,0.510849320360386
136,-507.05435,500,0,0.5082950737585841
137,-507.05435,500,0,0.5057535983897912
138,-507.05435,500,0,0.5032248303978422
139,-507.05435,500,0,0.500708706245853
140,-507.05435,500,0,0.4982051627146237
141,-507.05435,500,0,0.49571413690105054
142,-507.05435,500,0,0.4932355662165453
143,-507.05435,500,0,0.4907693883854626
144,-507.05435,500,0,0.4883155414435353
145,-507.05435,500,0,0.4858739637363176
146,-507.05435,500,0,0.483444593917636
147,-507.05435,500,0,0.4810273709480478
148,-507.05435,500,0,0.47862223409330756
149,-507.05435,500,0,0.47622912292284103
150,-507.05435,500,0,0.4738479773082268
151,-507.05435,500,0,0.47147873742168567
152,-507.05435,500,0,0.46912134373457726
153,-507.05435,500,0,0.46677573701590436
154,-507.05435,500,0,0.46444185833082485
155,-507.05435,500,0,0.46211964903917074
156,-507.05435,500,0,0.4598090507939749
157,-507.05435,500,0,0.457510005540005
158,-507.05435,500,0,0.45522245551230495
159,-507.05435,500,0,0.4529463432347434
160,-507.05435,500,0,0.4506816115185697
161,-507.05435,500,0,0.4484282034609769
162,-507.05435,500,0,0.446186062443672
163,-507.05435,500,0,0.4439551321314536
164,-507.05435,500,0,0.4417353564707963
165,-507.05435,500,0,0.43952667968844233
166,-459.4044,454,1,0.43732904629000013
167,-507.05435,500,0,0.4351424010585501
168,-507.05435,500,0,0.43296668905325736
169,-507.05435,500,0,0.43080185560799106
170,-421.8816,417,1,0.4286478463299511
171,-507.05435,500,0,0.42650460709830135
172,-507.05435,500,0,0.42437208406280985
173,-507.05435,500,0,0.4222502236424958
174,-464.47504,459,1,0.42013897252428334
175,-441.15005,436,1,0.4180382776616619
176,-507.05435,500,0,0.4159480862733536
177,-507.05435,500,0,0.41386834584198684
178,-507.05435,500,0,0.4117990041127769
179,-507.05435,500,0,0.40974000909221303
180,-507.05435,500,0,0.40769130904675194
181,-507.05435,500,0,0.40565285250151817
182,-507.05435,500,0,0.4036245882390106
183,-507.05435,500,0,0.4016064652978155
184,-507.05435,500,0,0.3995984329713264
185,-507.05435,500,0,0.3976004408064698
186,-507.05435,500,0,0.39561243860243744
187,-507.05435,500,0,0.3936343764094253
188,-507.05435,500,0,0.39166620452737816
189,-507.05435,500,0,0.3897078735047413
190,-507.05435,500,0,0.3877593341372176
191,-507.05435,500,0,0.3858205374665315
192,-507.05435,500,0,0.38389143477919885
193,-507.05435,500,0,0.3819719776053028
194,-507.05435,500,0,0.3800621177172763
195,-507.05435,500,0,0.37816180712868996
196,-507.05435,500,0,0.37627099809304654
197,-507.05435,500,0,0.3743896431025813
198,-507.05435,500,0,0.37251769488706843
199,-507.05435,500,0,0.3706551064126331
200,-507.05435,500,0,0.36880183088056995
201,-507.05435,500,0,0.3669578217261671
202,-507.05435,500,0,0.36512303261753626
203,-507.05435,500,0,0.3632974174544486
204,-507.05435,500,0,0.3614809303671764
205,-507.05435,500,0,0.3596735257153405
206,-507.05435,500,0,0.3578751580867638
207,-507.05435,500,0,0.35608578229633
208,-507.05435,500,0,0.3543053533848483
209,-507.05435,500,0,0.35253382661792404
210,-507.05435,500,0,0.3507711574848344
211,-507.05435,500,0,0.34901730169741024
212,-507.05435,500,0,0.3472722151889232
213,-507.05435,500,0,0.3455358541129786
214,-507.05435,500,0,0.3438081748424137
215,-507.05435,500,0,0.3420891339682016
216,-507.05435,500,0,0.3403786882983606
217,-507.05435,500,0,0.3386767948568688
218,-507.05435,500,0,0.33698341088258443
219,-507.05435,500,0,0.3352984938281715
220,-507.05435,500,0,0.33362200135903064
221,-507.05435,500,0,0.33195389135223546
222,-507.05435,500,0,0.3302941218954743
223,-507.05435,500,0,0.32864265128599696
224,-507.05435,500,0,0.326999438029567
225,-507.05435,500,0,0.3253644408394192
226,-507.05435,500,0,0.3237376186352221
227,-507.05435,500,0,0.322118930542046
228,-507.05435,500,0,0.32050833588933575
229,-507.05435,500,0,0.31890579420988907
230,-507.05435,500,0,0.3173112652388396
231,-507.05435,500,0,0.3157247089126454
232,-507.05435,500,0,0.3141460853680822
233,-507.05435,500,0,0.3125753549412418
234,-507.05435,500,0,0.31101247816653554
235,-507.05435,500,0,0.30945741577570285
236,-507.05435,500,0,0.3079101286968243
237,-507.05435,500,0,0.3063705780533402
238,-507.05435,500,0,0.30483872516307353
239,-507.05435,500,0,0.3033145315372582
240,-507.05435,500,0,0.3017979588795719
241,-507.05435,500,0,0.30028896908517405
242,-507.05435,500,0,0.2987875242397482
243,-507.05435,500,0,0.29729358661854943
244,-507.05435,500,0,0.29580711868545667
245,-507.05435,500,0,0.2943280830920294
246,-507.05435,500,0,0.29285644267656924
247,-507.05435,500,0,0.2913921604631864
248,-507.05435,500,0,0.28993519966087045
249,-507.05435,500,0,0.2884855236625661
250,-507.05435,500,0,0.28704309604425327
251,-507.05435,500,0,0.285607880564032
252,-403.62726,399,1,0.28417984116121187
253,-507.05435,500,0,0.2827589419554058
254,-466.5033,461,1,0.28134514724562876
255,-507.05435,500,0,0.2799384215094006
256,-507.05435,500,0,0.27853872940185365
257,-404.6414,400,1,0.27714603575484437
258,-507.05435,500,0,0.2757603055760701
259,-507.05435,500,0,0.2743815040481898
260,-507.05435,500,0,0.2730095965279488
261,-507.05435,500,0,0.27164454854530906
262,-420.86746,416,1,0.2702863258025825
263,-507.05435,500,0,0.2689348941735696
264,-507.05435,500,0,0.26759021970270175
265,-507.05435,500,0,0.2662522686041882
266,-507.05435,500,0,0.2649210072611673
267,-507.05435,500,0,0.26359640222486147
268,-328.58167,325,1,0.26227842021373715
269,-507.05435,500,0,0.2609670281126685
270,-507.05435,500,0,0.25966219297210513
271,-440.13593,435,1,0.2583638820072446
272,-507.05435,500,0,0.2570720625972084
273,-507.05435,500,0,0.25578670228422234
274,-507.05435,500,0,0.25450776877280124
275,-507.05435,500,0,0.2532352299289372
276,-507.05435,500,0,0.2519690537792925
277,-312.3556,309,1,0.2507092085103961
278,-507.05435,500,0,0.2494556624678441
279,-507.05435,500,0,0.24820838415550486
280,-297.14365,294,1,0.24696734223472733
281,-507.05435,500,0,0.2457325055235537
282,-507.05435,500,0,0.24450384299593592
283,-341.76535,338,1,0.24328132378095624
284,-507.05435,500,0,0.24206491716205145
285,-507.05435,500,0,0.2408545925762412
286,-507.05435,500,0,0.23965031961336
287,-507.05435,500,0,0.2384520680152932
288,-335.68057,332,1,0.23725980767521673
289,-507.05435,500,0,0.23607350863684065
290,-477.65872,472,1,0.23489314109365644
291,-488.81415,483,1,0.23371867538818816
292,-507.05435,500,0,0.23255008201124722
293,-507.05435,500,0,0.231387331601191
294,-294.10126,291,1,0.23023039494318503
295,-506.05435,500,1,0.2290792429684691
296,-507.05435,500,0,0.22793384675362674
297,-507.05435,500,0,0.22679417751985861
298,-507.05435,500,0,0.22566020663225933
299,-507.05435,500,0,0.22453190559909803
300,-507.05435,500,0,0.22340924607110255
301,-507.05435,500,0,0.22229219984074702
302,-459.4044,454,1,0.2211807388415433
303,-454.33374,449,1,0.22007483514733558
304,-507.05435,500,0,0.2189744609715989
305,-507.05435,500,0,0.2178795886667409
306,-507.05435,500,0,0.2167901907234072
307,-507.05435,500,0,0.21570623976979014
308,-507.05435,500,0,0.21462770857094118
309,-460.41852,455,1,0.21355457002808648
310,-464.47504,459,1,0.21248679717794605
311,-507.05435,500,0,0.21142436319205632
312,-426.95224,422,1,0.21036724137609603
313,-507.05435,500,0,0.20931540516921554
314,-507.05435,500,0,0.20826882814336947
315,-333.6523,330,1,0.20722748400265262
316,-507.05435,500,0,0.20619134658263935
317,-507.05435,500,0,0.20516038984972615
318,-507.05435,500,0,0.2041345879004775
319,-507.05435,500,0,0.2031139149609751
320,-507.05435,500,0,0.20209834538617025
321,-382.33054,378,1,0.2010878536592394
322,-257.5926,255,1,0.2000824143909432
323,-209.9278,208,1,0.19908200231898848
324,-339.7371,336,1,0.19808659230739353
325,-507.05435,500,0,0.19709615934585656
326,-507.05435,500,0,0.19611067854912728
327,-507.05435,500,0,0.19513012515638165
328,-438.10767,433,1,0.19415447453059972
329,-507.05435,500,0,0.19318370215794672
330,-507.05435,500,0,0.192217783647157
331,-507.05435,500,0,0.1912566947289212
332,-507.05435,500,0,0.1903004112552766
333,-507.05435,500,0,0.18934890919900021
334,-432.0229,427,1,0.18840216465300522
335,-507.05435,500,0,0.18746015382974018
336,-507.05435,500,0,0.1865228530605915
337,-463.4609,458,1,0.18559023879528855
338,-404.6414,400,1,0.1846622876013121
339,-256.57846,254,1,0.18373897616330553
340,-429.99463,425,1,0.182820281282489
341,-507.05435,500,0,0.18190617987607657
342,-507.05435,500,0,0.18099664897669618
343,-507.05435,500,0,0.1800916657318127
344,-507.05435,500,0,0.17919120740315364
345,-507.05435,500,0,0.17829525136613786
346,-507.05435,500,0,0.17740377510930716
347,-507.05435,500,0,0.17651675623376062
348,-488.81415,483,1,0.1756341724525918
349,-507.05435,500,0,0.17475600159032884
350,-507.05435,500,0,0.17388222158237718
351,-507.05435,500,0,0.1730128104744653
352,-507.05435,500,0,0.17214774642209296
353,-507.05435,500,0,0.1712870076899825
354,-507.05435,500,0,0.17043057265153258
355,-507.05435,500,0,0.16957841978827493
356,-443.1783,438,1,0.16873052768933355
357,-507.05435,500,0,0.1678868750508869
358,-380.30228,376,1,0.16704744067563246
359,-333.6523,330,1,0.1662122034722543
360,-507.05435,500,0,0.16538114245489302
361,-507.05435,500,0,0.16455423674261854
362,-507.05435,500,0,0.16373146555890544
363,-485.77176,480,1,0.16291280823111093
364,-415.7968,411,1,0.16209824418995536
365,-467.51743,462,1,0.16128775296900558
366,-507.05435,500,0,0.16048131420416054
367,-507.05435,500,0,0.15967890763313974
368,-507.05435,500,0,0.15888051309497406
369,-507.05435,500,0,0.1580861105294992
370,-507.05435,500,0,0.1572956799768517
371,-507.05435,500,0,0.15650920157696743
372,-507.05435,500,0,0.1557266555690826
373,-507.05435,500,0,0.1549480222912372
374,-507.05435,500,0,0.15417328217978102
375,-507.05435,500,0,0.1534024157688821
376,-507.05435,500,0,0.1526354036900377
377,-507.05435,500,0,0.1518722266715875
378,-507.05435,500,0,0.15111286553822956
379,-507.05435,500,0,0.15035730121053842
380,-507.05435,500,0,0.14960551470448571
381,-507.05435,500,0,0.14885748713096328
382,-308.29907,305,1,0.14811319969530845
383,-507.05435,500,0,0.1473726336968319
384,-440.13593,435,1,0.14663577052834775
385,-507.05435,500,0,0.14590259167570602
386,-341.76535,338,1,0.1451730787173275
387,-507.05435,500,0,0.14444721332374086
388,-507.05435,500,0,0.14372497725712216
389,-507.05435,500,0,0.14300635237083656
390,-507.05435,500,0,0.14229132060898236
391,-507.05435,500,0,0.14157986400593744
392,-507.05435,500,0,0.14087196468590776
393,-497.9413,492,1,0.14016760486247823
394,-507.05435,500,0,0.13946676683816583
395,-507.05435,500,0,0.138769433003975
396,-507.05435,500,0,0.13807558583895513
397,-507.05435,500,0,0.13738520790976036
398,-329.5958,326,1,0.13669828187021155
399,-507.05435,500,0,0.13601479046086049
400,-465.48917,460,1,0.1353347165085562
