episode,reward,length,success,epsilon,loss
111,-82.0,83,1,0.03506636663855641,0.2727102240076266
112,-84.0,85,1,0.03401437563939972,0.29479038756998144
113,-85.0,86,1,0.03299394437021773,0.2916299448196971
114,-88.0,89,1,0.032004126039111194,0.2842703955561927
115,-75.0,76,1,0.031044002257937856,0.2705860699428932
116,-89.0,90,1,0.03011268219019972,0.320883374578423
117,-92.0,93,1,0.029209301724493725,0.2734904496940554
118,-123.0,124,1,0.028333022672758914,0.31524651626785916
119,-101.0,102,1,0.027483031992576144,0.2834939631615199
120,-96.0,97,1,0.026658541032798858,0.29310942494992126
121,-74.0,75,1,0.02585878480181489,0.28217802884678045
122,-82.0,83,1,0.025083021257760445,0.29702866223292895
123,-93.0,94,1,0.024330530620027633,0.34473872212494944
124,-80.0,81,1,0.023600614701426804,0.2811642067024001
125,-76.0,77,1,0.022892596260384,0.32395667471475414
126,-152.0,153,1,0.02220581837257248,0.27526626304960716
127,-99.0,100,1,0.021539643821395303,0.29975990414619447
128,-79.0,80,1,0.020893454506753444,0.3173540560528636
129,-76.0,77,1,0.02026665087155084,0.2797060108610562
130,-94.0,95,1,0.02,0.31530228096403573
131,-74.0,75,1,0.02,0.30514385173718134
132,-90.0,91,1,0.02,0.29416780308871476
133,-97.0,98,1,0.02,0.29312111961902404
134,-75.0,76,1,0.02,0.3217359169533378
135,-83.0,84,1,0.02,0.2902061777366769
136,-76.0,77,1,0.02,0.2936142216158378
137,-100.0,101,1,0.02,0.3806052158153293
138,-72.0,73,1,0.02,0.33599013830088587
139,-70.0,71,1,0.02,0.3987877015286768
140,-76.0,77,1,0.02,0.3231442375713355
141,-98.0,99,1,0.02,0.32998987648523215
142,-81.0,82,1,0.02,0.35882292242675295
143,-77.0,78,1,0.02,0.27159362451101726
144,-83.0,84,1,0.02,0.3500942462345674
145,-72.0,73,1,0.02,0.3470845648585117
146,-75.0,76,1,0.02,0.374006747856344
147,-110.0,111,1,0.02,0.2971742261905928
148,-81.0,82,1,0.02,0.2981691654862427
149,-70.0,71,1,0.02,0.3152085156507895
150,-61.0,62,1,0.02,0.36599139448615814
151,-78.0,79,1,0.02,0.32936036765952653
152,-76.0,77,1,0.02,0.36958257684653456
153,-97.0,98,1,0.02,0.3656637359942709
154,-84.0,85,1,0.02,0.4120190621298902
155,-148.0,149,1,0.02,0.36552650431458583
156,-62.0,63,1,0.02,0.3236995989841128
157,-98.0,99,1,0.02,0.35207519650158253
158,-87.0,88,1,0.02,0.3915319419465959
159,-100.0,101,1,0.02,0.3814999357529796
160,-98.0,99,1,0.02,0.4322134550999511
161,-101.0,102,1,0.02,0.35708934357207195
162,-108.0,109,1,0.02,0.3950279467149612
163,-83.0,84,1,0.02,0.34835369964795454
164,-62.0,63,1,0.02,0.3109293702457632
165,-77.0,78,1,0.02,0.3408653320123752
166,-89.0,90,1,0.02,0.3248729714502891
167,-75.0,76,1,0.02,0.35841655348868745
168,-104.0,105,1,0.02,0.36246388817117325
169,-500.0,500,0,0.02,0.37603307941555975
170,-84.0,85,1,0.02,0.4088125674163594
171,-108.0,109,1,0.02,0.3765869579115592
172,-100.0,101,1,0.02,0.3573411003787919
173,-84.0,85,1,0.02,0.38020632547490735
174,-93.0,94,1,0.02,0.39532107614139295
175,-70.0,71,1,0.02,0.3919955556031684
176,-89.0,90,1,0.02,0.40482918259998163
177,-93.0,94,1,0.02,0.3904627664609158
178,-85.0,86,1,0.02,0.4080080328032721
179,-90.0,91,1,0.02,0.3198571249351397
180,-87.0,88,1,0.02,0.3632711128924381
181,-75.0,76,1,0.02,0.3538608554946749
182,-93.0,94,1,0.02,0.37503674927544084
183,-85.0,86,1,0.02,0.3922473202611125
184,-98.0,99,1,0.02,0.35994806817986746
185,-113.0,114,1,0.02,0.4162448826327659
186,-75.0,76,1,0.02,0.39778496824989196
187,-68.0,69,1,0.02,0.3633567779392436
188,-87.0,88,1,0.02,0.47425899417562917
189,-62.0,63,1,0.02,0.4337464362855942
190,-73.0,74,1,0.02,0.3932237661368138
191,-78.0,79,1,0.02,0.3770293996115274
192,-78.0,79,1,0.02,0.3522524424368822
193,-86.0,87,1,0.02,0.39500207376891167
194,-112.0,113,1,0.02,0.40372917768174565
195,-79.0,80,1,0.02,0.4290711821988225
196,-91.0,92,1,0.02,0.43342709047314915
197,-69.0,70,1,0.02,0.40121394406471933
198,-89.0,90,1,0.02,0.3908618892232577
199,-87.0,88,1,0.02,0.42207936324517836
200,-77.0,78,1,0.02,0.40841045966133094
201,-88.0,89,1,0.02,0.4075746982452575
202,-94.0,95,1,0.02,0.38043801462964005
203,-71.0,72,1,0.02,0.38419169146153664
204,-93.0,94,1,0.02,0.4354882952063642
205,-72.0,73,1,0.02,0.39744129215609536
206,-76.0,77,1,0.02,0.4308429571328225
207,-84.0,85,1,0.02,0.4222772856845575
208,-69.0,70,1,0.02,0.42562120067221776
209,-89.0,90,1,0.02,0.4517315020163854
210,-89.0,90,1,0.02,0.4715073996947871
211,-86.0,87,1,0.02,0.44939020207558555
212,-80.0,81,1,0.02,0.40232370333907047
213,-77.0,78,1,0.02,0.4199624500977687
214,-102.0,103,1,0.02,0.4419483996710731
215,-157.0,158,1,0.02,0.3985515455184858
216,-95.0,96,1,0.02,0.4260643460632612
217,-72.0,73,1,0.02,0.4252887176324243
218,-71.0,72,1,0.02,0.4403138720533914
219,-78.0,79,1,0.02,0.45887357571834253
220,-70.0,71,1,0.02,0.4509982411080683
221,-60.0,61,1,0.02,0.37908250557594614
222,-73.0,74,1,0.02,0.43662005622644684
223,-76.0,77,1,0.02,0.46796488471619496
224,-94.0,95,1,0.02,0.4280967888079191
225,-95.0,96,1,0.02,0.4543585979069273
226,-90.0,91,1,0.02,0.41409211654911987
227,-74.0,75,1,0.02,0.465421292980512
228,-96.0,97,1,0.02,0.39618970784022634
229,-93.0,94,1,0.02,0.5035651652736867
230,-62.0,63,1,0.02,0.4151634675642801
231,-94.0,95,1,0.02,0.41643733939057903
232,-89.0,90,1,0.02,0.4730636785427729
233,-94.0,95,1,0.02,0.43352807964149276
234,-87.0,88,1,0.02,0.481482442129742
235,-70.0,71,1,0.02,0.49655469213153275
236,-95.0,96,1,0.02,0.42789173871278763
237,-96.0,97,1,0.02,0.4721720103443283
238,-90.0,91,1,0.02,0.4451470373423545
239,-98.0,99,1,0.02,0.4941619350151582
240,-63.0,64,1,0.02,0.4367815332952887
241,-61.0,62,1,0.02,0.42841251843398614
242,-81.0,82,1,0.02,0.44594915892656256
243,-62.0,63,1,0.02,0.47133696505001615
244,-82.0,83,1,0.02,0.47202048890561943
245,-76.0,77,1,0.02,0.46336021903273344
246,-71.0,72,1,0.02,0.48422786965966225
247,-76.0,77,1,0.02,0.46942612296575076
248,-69.0,70,1,0.02,0.452116725061621
249,-71.0,72,1,0.02,0.4822777128881878
250,-96.0,97,1,0.02,0.5005203433258018
251,-85.0,86,1,0.02,0.4903277460225793
252,-91.0,92,1,0.02,0.442205385669418
253,-63.0,64,1,0.02,0.47338352003134787
254,-102.0,103,1,0.02,0.5257484028929645
255,-85.0,86,1,0.02,0.4861170278732167
256,-94.0,95,1,0.02,0.49278292750057423
257,-69.0,70,1,0.02,0.48768058781112944
258,-71.0,72,1,0.02,0.5225233948893018
259,-68.0,69,1,0.02,0.476246228252632
260,-125.0,126,1,0.02,0.49947787407371735
261,-81.0,82,1,0.02,0.44638621025696035
262,-84.0,85,1,0.02,0.5224915383493199
263,-72.0,73,1,0.02,0.5022203989633142
264,-166.0,167,1,0.02,0.4975692419234864
265,-87.0,88,1,0.02,0.4899020722474564
266,-86.0,87,1,0.02,0.47331758854032935
267,-80.0,81,1,0.02,0.5242238340922344
268,-80.0,81,1,0.02,0.5166081789835
269,-75.0,76,1,0.02,0.4988808108395652
270,-78.0,79,1,0.02,0.49046081247963486
271,-77.0,78,1,0.02,0.49970639917330867
272,-90.0,91,1,0.02,0.4895754571144397
273,-62.0,63,1,0.02,0.5220005436549111
274,-81.0,82,1,0.02,0.5101440848737229
275,-79.0,80,1,0.02,0.5401109386235475
276,-96.0,97,1,0.02,0.5313771720399562
277,-86.0,87,1,0.02,0.5051474838421263
278,-66.0,67,1,0.02,0.5161668482556272
279,-64.0,65,1,0.02,0.49836805027264813
280,-102.0,103,1,0.02,0.5017775491024684
281,-95.0,96,1,0.02,0.5265839078153173
282,-61.0,62,1,0.02,0.5014275692162975
283,-70.0,71,1,0.02,0.5123165377848585
284,-76.0,77,1,0.02,0.5196613121729392
285,-76.0,77,1,0.02,0.5322685955793827
286,-62.0,63,1,0.02,0.5486272126436234
287,-68.0,69,1,0.02,0.5587415898191757
288,-86.0,87,1,0.02,0.5191813835809971
289,-97.0,98,1,0.02,0.5358696853627964
290,-83.0,84,1,0.02,0.5659648265157428
291,-95.0,96,1,0.02,0.511249864163498
292,-71.0,72,1,0.02,0.544655816629529
293,-74.0,75,1,0.02,0.5017220564683278
294,-63.0,64,1,0.02,0.5205383801367134
295,-79.0,80,1,0.02,0.52220064625144
296,-62.0,63,1,0.02,0.521983526055775
297,-90.0,91,1,0.02,0.5234203294410811
298,-63.0,64,1,0.02,0.539921403862536
299,-85.0,86,1,0.02,0.4996848541290261
300,-94.0,95,1,0.02,0.5006655645997901
