episode,success_rate_pct,mean_reward
25,0.0,-500.0
50,0.0,-500.0
75,100.0,-96.4
100,0.0,-500.0
125,90.0,-125.9
150,100.0,-82.8
175,20.0,-420.0
200,100.0,-76.6
225,100.0,-78.0
250,100.0,-91.5
275,100.0,-93.6
300,100.0,-78.9
