,count,mean,std,min,10%,25%,50%,75%,90%,max
reward,300.0,-120.08333333333333,93.3199429994842,-500.0,-174.29999999999998,-110.5,-91.0,-77.75,-71.0,-61.0
length,300.0,121.04,93.1429928859161,62.0,72.0,78.75,92.0,111.5,175.30000000000007,500.0
success,300.0,0.9566666666666667,0.20394656873443773,0.0,1.0,1.0,1.0,1.0,1.0,1.0
epsilon,300.0,0.12032681651717723,0.20559703265797893,0.02,0.02,0.02,0.02,0.10261836758300116,0.4022472965901986,1.0
loss,299.0,0.3178221766283885,0.1555930840374287,0.0005415971435140818,0.06639825975680037,0.19536089027171094,0.33814945367147337,0.45018545359882534,0.5029053277128186,0.5863180921689884
