,count,mean,std,min,25%,50%,75%,max
reward,200.0,-414.345,107.85340867964764,-500.0,-500.0,-500.0,-312.75,-171.0
length,200.0,414.815,107.43071051991637,172.0,313.75,500.0,500.0,500.0
success,200.0,0.47,0.5003516351466933,0.0,0.0,0.0,1.0,1.0
epsilon,200.0,0.6330421782738324,0.18215065684660198,0.36880183088056995,0.4732556673365915,0.6072924727633175,0.7792903366629493,1.0
loss,200.0,0.12733820305169138,0.09203180606479344,8.946081288013374e-05,0.036874124760710406,0.13415874462315144,0.21015854177610102,0.3257389779588798
